,Date,Low,High,Close,Open,Volume
605,1995-01-03,45.6875,45.8437,45.7812,45.7031,324300.0
280,1995-01-04,45.75,46.0,46.0,45.9843,351800.0
3738,1995-01-05,45.9531,46.1093,46.0,46.0312,89800.0
1933,1995-01-06,45.9062,46.25,46.0468,46.0937,448400.0
4984,1995-01-09,46.0,46.0937,46.0937,46.0312,36800.0
2005,1995-01-10,46.1406,46.3906,46.1406,46.2031,229800.0
266,1995-01-11,45.8125,46.2968,46.1718,46.2968,222400.0
3442,1995-01-12,46.0312,46.2187,46.1875,46.125,40300.0
2456,1995-01-13,46.375,46.7343,46.7343,46.4375,170600.0
1363,1995-01-16,46.7187,47.0312,47.0156,46.7187,105100.0
958,1995-01-17,46.8593,47.0625,47.0312,46.9218,89500.0
3920,1995-01-18,46.875,47.0781,46.9843,47.0,84500.0
3672,1995-01-19,46.6875,46.875,46.7187,46.8281,139100.0
3990,1995-01-20,46.4531,46.6718,46.5468,46.6562,78700.0
4554,1995-01-23,46.2031,46.6875,46.6875,46.2343,53700.0
2074,1995-01-24,46.6406,46.75,46.75,46.6718,32400.0
777,1995-01-25,46.5156,47.0468,46.875,46.5156,15700.0
5276,1995-01-26,46.75,46.9843,46.9218,46.8437,9800.0
2745,1995-01-27,46.9218,47.2343,47.1093,47.2343,91200.0
5049,1995-01-30,46.8437,47.0468,46.9062,47.0156,26600.0
2208,1995-01-31,46.9218,47.1718,47.0937,47.0,127500.0
1065,1995-02-01,47.0,47.3281,47.0781,47.1562,380200.0
1537,1995-02-02,47.0625,47.3593,47.3593,47.0625,131700.0
3100,1995-02-03,47.5781,48.1093,48.0312,47.6562,405100.0
379,1995-02-06,47.9687,48.375,48.2343,48.0156,405400.0
3857,1995-02-07,48.1406,48.3125,48.2968,48.3125,702900.0
5258,1995-02-08,48.2031,48.4687,48.2968,48.2343,521500.0
2483,1995-02-09,48.125,48.2968,48.2968,48.2187,390700.0
5116,1995-02-10,48.0937,48.3593,48.3593,48.2343,148300.0
4798,1995-02-13,48.3281,48.4687,48.375,48.3281,79700.0
2915,1995-02-14,48.25,48.5312,48.4375,48.5312,170200.0
4060,1995-02-15,48.3906,48.7656,48.7031,48.4375,431500.0
3647,1995-02-16,48.5,48.6875,48.6406,48.6406,99300.0
3601,1995-02-17,48.4375,48.625,48.4531,48.5937,49100.0
3559,1995-02-21,48.4218,48.5312,48.4375,48.4531,168000.0
3052,1995-02-22,48.4531,48.7968,48.7968,48.4843,386400.0
5104,1995-02-23,48.8593,49.1562,48.875,48.9843,402800.0
3831,1995-02-24,48.8125,49.0156,49.0,48.9375,307600.0
3012,1995-02-27,48.5312,49.0,48.6093,48.8593,280900.0
3436,1995-02-28,48.5625,49.0156,49.0156,48.5625,493500.0
5361,1995-03-01,48.6562,49.0312,48.7031,48.9687,242600.0
5482,1995-03-02,48.5468,48.7656,48.7656,48.6875,488600.0
1677,1995-03-03,48.4843,48.7812,48.7812,48.6093,290000.0
949,1995-03-06,48.3906,48.8125,48.8125,48.4531,85700.0
3020,1995-03-07,48.2187,48.75,48.4375,48.6406,180900.0
3016,1995-03-08,48.3437,48.625,48.5625,48.5156,155900.0
3512,1995-03-09,48.4218,48.5937,48.5468,48.5468,63500.0
3538,1995-03-10,48.5312,49.3906,49.2656,48.5937,192100.0
2329,1995-03-13,49.1718,49.3906,49.2187,49.2343,261300.0
4026,1995-03-14,49.3593,49.6406,49.5781,49.3593,223300.0
3282,1995-03-15,49.2968,49.5781,49.4843,49.5,278500.0
2383,1995-03-16,49.4375,49.8125,49.7812,49.4375,20400.0
1628,1995-03-17,49.4062,49.625,49.5625,49.4375,89900.0
3643,1995-03-20,49.4687,49.625,49.5625,49.625,91700.0
3198,1995-03-21,49.3593,49.875,49.4375,49.5625,104400.0
5734,1995-03-22,49.3281,49.5312,49.4843,49.5312,74900.0
1325,1995-03-23,49.3593,49.6562,49.5156,49.4218,220500.0
298,1995-03-24,49.6718,50.2187,50.2187,49.6718,134000.0
